CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
2,GENERATED VIA SPACE-TRACK.ORG API,2023-01-13T21:06:12,18 SPCS,TBA - TO BE ASSIGNED,2023-001K,EARTH,TEME,UTC,SGP4,2023-01-13T17:18:45.164448,15.12308013,0.0011111,97.5016,75.6632,183.693,176.422,0,U,55018,999,168,0.00079725,0.00013777,0,6907.3,95.219,536.84,521.491,UNKNOWN,,,,,,3743426,222944701,0 TBA - TO BE ASSIGNED,1 55018U 23001K   23013.72135607  .00013777  00000-0  79725-3 0  9993,2 55018  97.5016  75.6632 0011111 183.6930 176.4220 15.12308013  1684
2,GENERATED VIA SPACE-TRACK.ORG API,2023-01-14T04:21:33,18 SPCS,OBJECT K,2023-001K,EARTH,TEME,UTC,SGP4,2023-01-13T18:54:01.895616,15.12311379,0.0011118,97.5016,75.7283,183.4597,176.6558,0,U,55018,999,169,0.0008665,0.00014983,0,6907.29,95.218,536.835,521.476,UNKNOWN,,,,,,3743722,222975978,0 OBJECT K,1 55018U 23001K   23013.78752194  .00014983  00000-0  86650-3 0  9990,2 55018  97.5016  75.7283 0011118 183.4597 176.6558 15.12311379  1697
2,GENERATED VIA SPACE-TRACK.ORG API,2023-01-15T15:46:14,18 SPCS,OBJECT K,2023-001K,EARTH,TEME,UTC,SGP4,2023-01-15T12:11:14.278560,15.12368177,0.0011187,97.5022,77.419,177.2082,182.9213,0,U,55018,999,195,0.00094905,0.00016446,0,6907.117,95.215,536.709,521.255,UNKNOWN,,TBD,2023-01-03,AFETR,,3746600,223056220,0 OBJECT K,1 55018U 23001K   23015.50780415  .00016446  00000-0  94905-3 0  9997,2 55018  97.5022  77.4190 0011187 177.2082 182.9213 15.12368177  1951
2,GENERATED VIA SPACE-TRACK.ORG API,2023-01-17T02:22:43,18 SPCS,OBJECT K,2023-001K,EARTH,TEME,UTC,SGP4,2023-01-16T21:31:58.985472,15.1242063,0.0011351,97.5025,78.7845,171.8257,188.3161,0,U,55018,999,216,0.00095984,0.00016659,0,6906.957,95.212,536.663,520.982,UNKNOWN,,TBD,2023-01-03,AFETR,,3750956,223255837,0 OBJECT K,1 55018U 23001K   23016.89721048  .00016659  00000-0  95984-3 0  9991,2 55018  97.5025  78.7845 0011351 171.8257 188.3161 15.12420630  2161
2,GENERATED VIA SPACE-TRACK.ORG API,2023-01-17T00:26:13,18 SPCS,OBJECT K,2023-001K,EARTH,TEME,UTC,SGP4,2023-01-16T21:31:58.985472,15.1242063,0.0011351,97.5025,78.7845,171.8257,188.3161,0,U,55018,999,216,0.00095984,0.00016659,0,6906.957,95.212,536.663,520.982,UNKNOWN,,TBD,2023-01-03,AFETR,,3750501,223222382,0 OBJECT K,1 55018U 23001K   23016.89721048  .00016659  00000-0  95984-3 0  9991,2 55018  97.5025  78.7845 0011351 171.8257 188.3161 15.12420630  2161
2,GENERATED VIA SPACE-TRACK.ORG API,2023-01-17T18:28:45,18 SPCS,OBJECT K,2023-001K,EARTH,TEME,UTC,SGP4,2023-01-17T03:53:04.220160,15.12429594,0.0011389,97.5026,79.0447,170.6987,189.4457,0,U,55018,999,220,0.00093544,0.00016237,0,6906.93,95.211,536.661,520.929,UNKNOWN,,TBD,2023-01-03,AFETR,,3753023,223324788,0 OBJECT K,1 55018U 23001K   23017.16185440  .00016237  00000-0  93544-3 0  9994,2 55018  97.5026  79.0447 0011389 170.6987 189.4457 15.12429594  2205
2,GENERATED VIA SPACE-TRACK.ORG API,2023-01-18T03:13:41,18 SPCS,OBJECT K,2023-001K,EARTH,TEME,UTC,SGP4,2023-01-17T14:59:58.140672,15.12440879,0.0011415,97.5023,79.4999,169.1711,190.9768,0,U,55018,999,227,0.0008243,0.00014301,0,6906.896,95.21,536.645,520.877,UNKNOWN,,TBD,2023-01-03,AFETR,,3753286,223384374,0 OBJECT K,1 55018U 23001K   23017.62497848  .00014301  00000-0  82430-3 0  9995,2 55018  97.5023  79.4999 0011415 169.1711 190.9768 15.12440879  2274
2,GENERATED VIA SPACE-TRACK.ORG API,2023-01-18T10:56:13,18 SPCS,OBJECT K,2023-001K,EARTH,TEME,UTC,SGP4,2023-01-18T03:42:07.918848,15.12453077,0.0011471,97.5022,80.0202,167.4453,192.7065,0,U,55018,999,235,0.00069639,0.00012073,0,6906.859,95.21,536.647,520.801,UNKNOWN,,TBD,2023-01-03,AFETR,,3753610,223391795,0 OBJECT K,1 55018U 23001K   23018.15425832  .00012073  00000-0  69639-3 0  9998,2 55018  97.5022  80.0202 0011471 167.4453 192.7065 15.12453077  2357
2,GENERATED VIA SPACE-TRACK.ORG API,2023-01-18T18:00:05,18 SPCS,OBJECT K,2023-001K,EARTH,TEME,UTC,SGP4,2023-01-18T10:03:12.566880,15.12466268,0.0011451,97.5018,80.28,166.8823,193.2708,0,U,55018,999,239,0.00097054,0.00016868,0,6906.818,95.209,536.592,520.774,UNKNOWN,,TBD,2023-01-03,AFETR,,3753951,223424301,0 OBJECT K,1 55018U 23001K   23018.41889545  .00016868  00000-0  97054-3 0  9990,2 55018  97.5018  80.2800 0011451 166.8823 193.2708 15.12466268  2390
2,GENERATED VIA SPACE-TRACK.ORG API,2023-01-19T03:06:34,18 SPCS,OBJECT K,2023-001K,EARTH,TEME,UTC,SGP4,2023-01-18T17:59:33.261792,15.12476288,0.0011497,97.502,80.6052,165.6181,194.5379,0,U,55018,999,244,0.00095961,0.00016682,0,6906.788,95.208,536.594,520.712,UNKNOWN,MEDIUM,TBD,2023-01-03,AFETR,,3754254,223458213,0 OBJECT K,1 55018U 23001K   23018.74969053  .00016682  00000-0  95961-3 0  9998,2 55018  97.5020  80.6052 0011497 165.6181 194.5379 15.12476288  2447
