CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
2,GENERATED VIA SPACE-TRACK.ORG API,2020-05-05T16:16:05,18 SPCS,STARLINK-1098,2020-001D,EARTH,TEME,UTC,SGP4,2020-05-05T06:00:00.999648,15.05591871,0.0001225,53.0007,208.4837,113.3499,193.8452,0,U,44917,999,175,0.00057206,8.068e-05,0,6927.826,95.643,550.54,548.842,PAYLOAD,LARGE,US,2020-01-07,AFETR,,2744523,153416376,0 STARLINK-1098,1 44917U 20001D   20126.25001157 +.00008068 +00000-0 +57206-3 0  9995,2 44917 053.0007 208.4837 0001225 113.3499 193.8452 15.05591871001751
2,GENERATED VIA SPACE-TRACK.ORG API,2020-05-05T22:46:10,18 SPCS,STARLINK-1098,2020-001D,EARTH,TEME,UTC,SGP4,2020-05-05T22:00:01.999584,15.0560295,0.0001089,53.0001,205.4915,107.9732,214.7092,0,U,44917,999,1825,-0.0022029,-0.00032249,0,6927.792,95.642,550.411,548.903,PAYLOAD,LARGE,US,2020-01-07,AFETR,,2744645,153439465,0 STARLINK-1098,1 44917U 20001D   20126.91668981 -.00032249  00000-0 -22029-2 0  9996,2 44917  53.0001 205.4915 0001089 107.9732 214.7092 15.05602950 18253
2,GENERATED VIA SPACE-TRACK.ORG API,2020-05-06T15:58:32,18 SPCS,STARLINK-1098,2020-001D,EARTH,TEME,UTC,SGP4,2020-05-06T06:00:00.999648,15.05595365,0.0001177,52.9999,203.9949,114.7512,215.5776,0,U,44917,999,175,0.00039876,5.538e-05,0,6927.815,95.643,550.496,548.865,PAYLOAD,LARGE,US,2020-01-07,AFETR,,2745048,153487787,0 STARLINK-1098,1 44917U 20001D   20127.25001157 +.00005538 +00000-0 +39876-3 0  9998,2 44917 052.9999 203.9949 0001177 114.7512 215.5776 15.05595365001753
2,GENERATED VIA SPACE-TRACK.ORG API,2020-05-06T15:06:09,18 SPCS,STARLINK-1098,2020-001D,EARTH,TEME,UTC,SGP4,2020-05-06T14:00:01.000224,15.05576104,0.0001092,52.9996,202.5003,101.8541,236.1975,0,U,44917,999,1835,0.0015293,0.0002207,0,6927.874,95.644,550.496,548.983,PAYLOAD,LARGE,US,2020-01-07,AFETR,,2745000,153467516,0 STARLINK-1098,1 44917U 20001D   20127.58334491  .00022070  00000-0  15293-2 0  9990,2 44917  52.9996 202.5003 0001092 101.8541 236.1975 15.05576104 18355
2,GENERATED VIA SPACE-TRACK.ORG API,2020-05-07T01:13:12,18 SPCS,STARLINK-1098,2020-001D,EARTH,TEME,UTC,SGP4,2020-05-06T20:00:01.999872,15.05607252,0.0001025,52.9992,201.3771,105.262,148.6255,0,U,44917,999,179,-0.0024892,-0.00036387,0,6927.779,95.642,550.354,548.934,PAYLOAD,LARGE,US,2020-01-07,AFETR,,2745210,153511637,0 STARLINK-1098,1 44917U 20001D   20127.83335648 -.00036387 +00000-0 -24892-2 0  9996,2 44917 052.9992 201.3771 0001025 105.2620 148.6255 15.05607252001799
2,GENERATED VIA SPACE-TRACK.ORG API,2020-05-07T06:56:09,18 SPCS,STARLINK-1098,2020-001D,EARTH,TEME,UTC,SGP4,2020-05-06T22:00:00.999936,15.05600523,0.0001052,52.9993,201.0026,108.6471,237.11,0,U,44917,999,1840,-0.00171,-0.00025119,0,6927.799,95.642,550.393,548.936,PAYLOAD,LARGE,US,2020-01-07,AFETR,,2745375,153516051,0 STARLINK-1098,1 44917U 20001D   20127.91667824 -.00025119  00000-0 -17100-2 0  9994,2 44917  52.9993 201.0026 0001052 108.6471 237.1100 15.05600523 18404
2,GENERATED VIA SPACE-TRACK.ORG API,2020-05-07T13:16:08,18 SPCS,STARLINK-1098,2020-001D,EARTH,TEME,UTC,SGP4,2020-05-07T10:00:00.999936,15.05602641,0.0001068,52.9988,198.7588,105.7079,71.622,0,U,44917,999,1848,-0.0018097,-0.00026564,0,6927.793,95.642,550.398,548.918,PAYLOAD,LARGE,US,2020-01-07,AFETR,,2745461,153517773,0 STARLINK-1098,1 44917U 20001D   20128.41667824 -.00026564  00000-0 -18097-2 0  9991,2 44917  52.9988 198.7588 0001068 105.7079  71.6220 15.05602641 18487
2,GENERATED VIA SPACE-TRACK.ORG API,2020-05-07T19:29:13,18 SPCS,STARLINK-1098,2020-001D,EARTH,TEME,UTC,SGP4,2020-05-07T14:00:01.000224,15.05572312,0.0001051,52.9989,198.0112,99.805,261.386,0,U,44917,999,176,0.0029538,0.00043012,0,6927.886,95.644,550.479,549.023,PAYLOAD,LARGE,US,2020-01-07,AFETR,,2745493,153537785,0 STARLINK-1098,1 44917U 20001D   20128.58334491 +.00043012 +00000-0 +29538-2 0  9997,2 44917 052.9989 198.0112 0001051 099.8050 261.3860 15.05572312001760
2,GENERATED VIA SPACE-TRACK.ORG API,2020-05-08T02:15:53,18 SPCS,STARLINK-1098,2020-001D,EARTH,TEME,UTC,SGP4,2020-05-07T22:00:00.999936,15.05598792,0.0001009,52.9987,196.5133,107.1351,261.7636,0,U,44917,999,176,-0.0011926,-0.00017621,0,6927.805,95.643,550.369,548.971,PAYLOAD,LARGE,US,2020-01-07,AFETR,,2745827,153565220,0 STARLINK-1098,1 44917U 20001D   20128.91667824 -.00017621 +00000-0 -11926-2 0  9994,2 44917 052.9987 196.5133 0001009 107.1351 261.7636 15.05598792001769
2,GENERATED VIA SPACE-TRACK.ORG API,2020-05-08T07:06:09,18 SPCS,STARLINK-1098,2020-001D,EARTH,TEME,UTC,SGP4,2020-05-08T06:00:00.999648,15.05606184,0.0001077,52.9986,195.0168,110.2682,266.3413,0,U,44917,999,1861,-0.00077404,-0.00011547,0,6927.782,95.642,550.393,548.901,PAYLOAD,LARGE,US,2020-01-07,AFETR,,2745974,153589313,0 STARLINK-1098,1 44917U 20001D   20129.25001157 -.00011547  00000-0 -77404-3 0  9998,2 44917  52.9986 195.0168 0001077 110.2682 266.3413 15.05606184 18618
